//hotelName;address;price;rating;AC;freeParking;freeWifi;complementaryBreakfast;review;

Hotel Abkhazia Sokhumi; Sukhumi; Rs 5926; 4.31; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hôtel Le Bristol Paris; Paris; Rs 4372; 3.18; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hôtel Lutetia; Paris; Rs 4001; 2.91; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hôtel Martinez; Cannes; Rs 6490; 4.72; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hôtel Meurice; Paris; Rs 4853; 3.53; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hôtel Meurice de Calais; Calais; Rs 6778; 4.93; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Negresco; Nice; Rs 5018; 3.65; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hôtel Raphael; Paris; Rs 5568; 4.05; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hôtel Regina; Paris; Rs 6173; 4.49; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hôtel Ritz Paris; Paris; Rs 6476; 4.71; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hôtel de Soissons; Paris (historical); Rs 4358; 3.17; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Le Chabichou; Courchevel; Rs 6008; 4.37; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
L'Hôtel; Paris; Rs 6682; 4.86; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Maison Pic; Valence; Rs 4537; 3.3; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Majestic; Cannes; Rs 6737; 4.9; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Majestic Hôtel-Spa; Paris; Rs 6036; 4.39; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Noga Hilton; Cannes; Rs 5472; 3.98; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Normandy Barrière; Deauville; Rs 6751; 4.91; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Palais de la Méditerranée; Nice; Rs 5995; 4.36; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Pershing Hall; Paris; Rs 4413; 3.21; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Plaza Athénée; Paris; Rs 3932; 2.86; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Westin Paris - Vendôme; Paris; Rs 5623; 4.09; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
La Dolce Vita; Libreville; Rs 4496; 3.27; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Ambasadori; Tbilisi; Rs 6476; 4.71; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Intourist Palace; Batumi; Rs 6311; 4.59; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Radisson Blu Iveria Hotel; Tbilisi; Rs 4166; 3.03; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Sheraton Metechi Palace Hotel; Tbilisi; Rs 5115; 3.72; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Tbilisi Marriott Hotel; Tbilisi; Rs 6091; 4.43; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grande Bretagne; Athens; Rs 5307; 3.86; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hilton Athens; Athens; Rs 5541; 4.03; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Makedonia Palace; Thessaloniki; Rs 6214; 4.52; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Porto Carras; Sithonia; Rs 6283; 4.57; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
President Hotel Athens; Athens; Rs 6352; 4.62; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Titania; Athens; Rs 6723; 4.89; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Nikko Guam; Tumon; Rs 5417; 3.94; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Casa Santo Domingo; Antigua Guatemala; Rs 6462; 4.7; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Museo Uxlabil; Antigua Guatemala; Rs 4455; 3.24; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Porta Hotel Antigua; Antigua Guatemala; Rs 5087; 3.7; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Tikal Futura; Guatemala City; Rs 4496; 3.27; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Camayene; Conakry; Rs 3863; 2.81; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel de France; Conakry; Rs 4166; 3.03; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Le Meridien Mariador Palace; Conakry; Rs 6765; 4.92; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Novotel Ghi Conakry; Conakry; Rs 4400; 3.2; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Hotti Bissau; Bissau; Rs 6077; 4.42; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Christopher Hotel; Port-au-Prince; Rs 4757; 3.46; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hôtel Montana; Port-au-Prince; Rs 6792; 4.94; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Oloffson; Port-au-Prince; Rs 4950; 3.6; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Island Shangri-La; Hong Kong; Rs 5610; 4.08; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Langham Place; Hong Kong; Rs 6778; 4.93; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Mandarin Oriental; Hong Kong; Rs 4111; 2.99; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Ritz-Carlton Hong Kong; Kowloon; Rs 6380; 4.64; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Annabella; Balatonfüred; Rs 4152; 3.02; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Silverine Lake Resort; Balatonfüred; Rs 6545; 4.76; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Continental Hotel Zara; Budapest; Rs 5651; 4.11; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Danubius Hotel Astoria; Budapest; Rs 4510; 3.28; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Gellért; Budapest; Rs 3767; 2.74; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Kempinski Hotel Corvinus; Budapest; Rs 6091; 4.43; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hótel Búðir; Snaefellsnes peninsula; Rs 4922; 3.58; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Ashok Hotel; Delhi; Rs 6613; 4.81; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Imperial Hotel; New Delhi; Rs 6820; 4.96; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Maidens Hotel; Delhi; Rs 5225; 3.8; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
The Oberoi; Gurgaon; Rs 6242; 4.54; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Cecil; Shimla; Rs 3863; 2.81; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hari Niwas Palace; Jammu; Rs 4771; 3.47; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Four Seasons Hotel Mumbai; Mumbai; Rs 5706; 4.15; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Shalini Palace; Kolhapur; Rs 5458; 3.97; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Taj Mahal Palace and Tower; Mumbai; Rs 5417; 3.92; Non AC; Free parking; No wifi; No breakfast; bad for families;
Watson's Hotel; Mumbai; Rs 6806; 4.95; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel de l'Orient; Pondicherry; Rs 5266; 3.83; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Devigarh; Udaipur; Rs 5156; 3.75; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Lake Palace; Udaipur; Rs 5238; 3.81; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Lalgarh Palace; Bikaner; Rs 6613; 4.81; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Laxmi Niwas Palace; Bikaner; Rs 5843; 4.25; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
LMB Hotel; Jaipur; Rs 5115; 3.72; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Rambagh Palace; Jaipur; Rs 6022; 4.38; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Laxmi Niwas Palace; Bikaner; Rs 5788; 4.21; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Roopangarh Fort; Roopangarh; Rs 5142; 3.74; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Samode Palace; Samode; Rs 5183; 3.77; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Shiv Niwas Palace; Udaipur; Rs 4125; 3.0; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Umaid Bhawan Palace; Jodhpur; Rs 6063; 4.41; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Accord Metropolitan; Chennai; Rs 6586; 4.79; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Bungalow on the Beach; Tharangambadi; Rs 4812; 3.5; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Crowne Plaza Chennai Adyar Park; Chennai; Rs 6833; 4.97; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Fisherman's Cove; Chennai; Rs 5555; 4.04; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
The Grand Chola; Chennai; Rs 5830; 4.24; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hilton; Chennai; Rs 5775; 4.2; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel d'Angeli's; Chennai; Rs 6641; 4.83; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hyatt Regency; Chennai; Rs 5142; 3.74; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
JW Marriott; Chennai; Rs 5788; 4.21; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Kohinoor Asiana; Chennai; Rs 5046; 3.67; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Le Royal Meridien; Chennai; Rs 6572; 4.78; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Leela Palace; Chennai; Rs 5926; 4.31; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
My Fortune; Chennai; Rs 3849; 2.8; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
The Park; Chennai; Rs 4565; 3.32; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Park Hyatt; Chennai; Rs 6297; 4.58; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Radisson Blu City Centre; Chennai; Rs 3781; 2.75; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Radisson Blu Hotel; Chennai; Rs 5596; 4.07; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Raintree Hotel Anna Salai; Chennai; Rs 5128; 3.73; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Raintree Hotel; St Mary's Road; Rs 4785; 3.48; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Residency Towers; Chennai; Rs 4661; 3.39; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Savera Hotel; Chennai; Rs 4468; 3.25; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Taj Club House; Chennai; Rs 6751; 4.91; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Taj Connemara; Chennai; Rs 4166; 3.03; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Taj Coromandel; Chennai; Rs 4235; 3.08; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Trident Hilton; Chennai; Rs 6737; 4.9; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Westin; Chennai; Rs 5293; 3.85; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Park Hyatt; Hyderabad; Rs 4826; 3.51; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Taj Falaknuma Palace; Hyderabad; Rs 5967; 4.34; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Fort Madhogarh; Madhogarh; Rs 4372; 3.18; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Savoy Hotel; Mussoorie; Rs 4922; 3.58; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
The Elgin Hotel; Darjeeling; Rs 6132; 4.46; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
The Oberoi Grand; Kolkata; Rs 6132; 4.46; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Great Eastern Hotel; Kolkata; Rs 6765; 4.92; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Spence's Hotel; Kolkata; Rs 4468; 3.25; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Windamere Hotel; Darjeeling; Rs 6283; 4.57; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Indonesia Kempinski; Central Jakarta; Rs 4702; 3.42; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
JW Marriott Jakarta; South Jakarta; Rs 6091; 4.43; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Abbasi Hotel; Isfahan; Rs 6545; 4.76; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Dariush Grand Hotel; Kish Island; Rs 4290; 3.12; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Parsian Azadi Hotel; Tehran; Rs 4097; 2.98; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Al-Fanar Hotel; Baghdad; Rs 6861; 4.99; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Al Rasheed Hotel; Baghdad; Rs 4152; 3.02; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Babel Hotel; Baghdad; Rs 3905; 2.84; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Baghdad Hotel; Baghdad; Rs 5280; 3.84; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Basrah Sheraton; Basra; Rs 6710; 4.88; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Erbil International Hotel; Arbil; Rs 5390; 3.92; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Ishtar Sheraton Hotel; Baghdad; Rs 6324; 4.6; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Khanzad Hotel; Arbil; Rs 5678; 4.13; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Mansour Hotel; Baghdad; Rs 3753; 2.73; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Mnawi Basha Hotel; Basra; Rs 5541; 4.03; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Palestine Hotel; Baghdad; Rs 4303; 3.13; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
The Belvedere Hotel; Dublin; Rs 4097; 2.98; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Clarion Hotel; Limerick; Rs 6105; 4.44; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
American Colony Hotel; Jerusalem; Rs 3932; 2.86; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
David Citadel Hotel; Jerusalem; Rs 6503; 4.73; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Inbal Jerusalem Hotel; Jerusalem; Rs 4015; 2.92; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Isrotel Tower; Tel Aviv; Rs 5293; 3.85; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Jerusalem Gate Hotel; Jerusalem; Rs 6311; 4.59; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
King David Hotel; Jerusalem; Rs 4743; 3.45; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Leonardo City Tower Hotel; Ramat Gan; Rs 5032; 3.66; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Leonardo Plaza Hotel Jerusalem; Jerusalem; Rs 4647; 3.38; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Mount of Olives Hotel; Jerusalem; Rs 6118; 4.45; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Seven Arches Hotel; Jerusalem; Rs 3946; 2.87; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
The Shepherd Hotel; Jerusalem; Rs 4578; 3.33; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Vered Hagalil; Sea of Galilee; Rs 6036; 4.39; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel des Bains; Venice; Rs 6256; 4.55; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Quisisana; Capri; Rs 4853; 3.53; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Grand Hotel Rimini; Rimini; Rs 6366; 4.63; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Caruso; Ravello; Rs 5802; 4.22; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Cipriani; Venice; Rs 4248; 3.09; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Danieli; Venice; Rs 4345; 3.16; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Florida Milan; Milan; Rs 5417; 3.94; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Splendido; Portofino; Rs 5307; 3.86; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
JK Place Capri; Capri; Rs 6751; 4.91; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Palazzo Dandolo; Venice; Rs 5623; 4.09; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Rosa Grand; Milan; Rs 5637; 4.1; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Royal Victoria Hotel; Pisa; Rs 5156; 3.75; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Savoia Excelsior Palace; Trieste; Rs 5967; 4.34; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Splendid Venice; Venice; Rs 5280; 3.84; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Starhotels Anderson; Milan; Rs 5788; 4.21; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Torre di Moravola; Umbria; Rs 5981; 4.35; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Town House Galleria; Milan; Rs 3932; 2.86; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Villa d'Este; Cernobbio; Rs 5431; 3.95; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Villa San Michele Hotel; Florence; Rs 6228; 4.53; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Westin Palace Milan; Milan; Rs 4345; 3.16; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Kempinski Hotel Giardino di Costanza; near Mazara del Vallo; Rs 4221; 3.07; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Awaji Yumebutai; Awaji; Rs 4028; 2.93; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Fujiya Hotel; Hakone; Rs 5211; 3.79; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Prince Hotel Akasaka; Tokyo; Rs 6586; 4.79; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Grand Prince Hotel Takanawa; Tokyo; Rs 4276; 3.11; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hoshi Ryokan; Komatsu; Rs 5981; 4.35; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel New Grand; Yokohama; Rs 5403; 3.93; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Imperial Hotel; Tokyo; Rs 6572; 4.78; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Keio Plaza Hotel; Tokyo; Rs 4372; 3.18; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Kobe Meriken Park Oriental Hotel; Kobe; Rs 4647; 3.38; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Kōshien Hotel; Nishinomiya; Rs 5953; 4.33; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Nakano Sun Plaza; Nakano; Rs 5857; 4.26; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Nara Hotel; Nara; Rs 6380; 4.64; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
New Otani; Tokyo; Rs 6503; 4.73; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
New Sanno Hotel; Tokyo; Rs 6751; 4.91; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Nikkō Kanaya Hotel; Nikko; Rs 4180; 3.04; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Oriental Hotel (Kobe; Japan); Rs 5142; 3.74; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Palace Hotel; Tokyo; Rs 4468; 3.25; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
The Peninsula Tokyo; Tokyo; Rs 6641; 4.83; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Sapporo Grand Hotel; Sapporo; Rs 4963; 3.61; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Sendai Sun Plaza; Sendai; Rs 5802; 4.22; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Swissôtel Nankai Osaka; Osaka; Rs 5733; 4.17; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Toyoko Inn; Tokyo; Rs 6847; 4.98; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
The Windsor Hotel Toya Resort & Spa; Tōyako; Rs 4290; 3.12; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Yokohama Landmark Tower; Yokohama; Rs 5733; 4.17; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Le Royal Hotel; Amman; Rs 5706; 4.15; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Kazakhstan; Almaty; Rs 5087; 3.7; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Giraffe Manor; Nairobi; Rs 5665; 4.12; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Lake Naivasha Country Club; Lake Naivasha; Rs 5775; 4.2; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Muthaiga Country Club; Nairobi; Rs 5555; 4.04; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Outspan Hotel; Nyeri; Rs 5101; 3.71; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Stanley Hotel; Nairobi; Rs 4070; 2.96; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Treetops Hotel; Aberdare National Park; Rs 5637; 4.1; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Prishtina; Pristina; Rs 6338; 4.61; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hilton Olympia Kuwait; Kuwait City; Rs 6311; 4.59; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
InterContinental Kuwait Downtown; Kuwait City; Rs 5623; 4.09; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
JW Marriott Kuwait City; Kuwait City; Rs 3794; 2.76; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Rotana Hotels; Kuwait City; Rs 6586; 4.79; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
SS Santa Paula; Kuwait City; Rs 6297; 4.58; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Amantaka; Luang Prabang; Rs 4455; 3.24; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Don Chan Palace; Vientiane; Rs 6806; 4.95; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Green Park Boutique Hotel; Vientiane; Rs 3767; 2.74; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Beau Rivage Mekong; Vientiane; Rs 3726; 2.71; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Lao Plaza Hotel; Vientiane; Rs 4482; 3.26; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Royal Dokmaideng Hotel; Vientiane; Rs 5733; 4.17; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Settha Palace Hotel; Vientiane; Rs 5761; 4.19; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Gallery Park Hotel; Riga; Rs 4400; 3.2; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Grand Palace Hotel; Riga; Rs 6641; 4.83; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Radisson Blu Daugava Hotel; Riga; Rs 4056; 2.95; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Beirut Marriott Hotel; Beirut; Rs 4633; 3.37; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Chtaura Park Hotel; Bekaa; Rs 4702; 3.42; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Crowne Plaza Hotel; Beirut; Rs 5953; 4.33; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
InterContinental Phoenicia Beirut Hotel; Beirut; Rs 5307; 3.86; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Le Vendôme Intercontinental Hotel; Beirut; Rs 5376; 3.91; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Metropolitan Palace Hotel; Beirut; Rs 5101; 3.71; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Safir Helipolitan Hotel; Beirut; Rs 6132; 4.46; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Ducor Intercontinental Hotel; Monrovia; Rs 4771; 3.47; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Africa; Victoria; Rs 5211; 3.79; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Corinthia Hotel Tripoli; Tripoli; Rs 4028; 2.93; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Tripoli; Tripoli; Rs 5472; 3.98; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Al Mehari; Tripoli; Rs 5596; 4.07; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Casinò Uaddan; Tripoli; Rs 4812; 3.5; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Tobruk; Tobruk; Rs 4358; 3.17; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Tibesti Hotel; Benghazi; Rs 6022; 4.38; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Uzu Hotel; Benghazi; Rs 6503; 4.73; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
